url,language,speaker_id,domain,gender,location,duration,age
https://youtu.be/24JVPkMcfrk?si=eY4vaDZUOyRv9aWv,Maithili,Null,General,Male,India,1 hr 24 Min 4 sec,35
https://youtu.be/mgkE_8TthBU?si=IEMaEH-V7lHh3E0W,Maithili,Null,General,Male,India,1 hr 29 Min 37 sec,35
https://youtu.be/0TCdIDse7dw?si=b9_Z1QYIL2NRedR6,Maithili,Null,General,Male,India,1 hr 8 Min 15 sec,35
https://youtu.be/QQz0cfJPurY?si=pZYJdu5zxMR13z6s,Maithili,Null,Health,Male,Rajbiraj,1 hr 4 min 31 sec,40
https://youtu.be/kr3tqyhtr0U?si=YNuuAkRnUOxoY3d9,Maithili,Null,Health,Male/Female,Rajbiraj,1 hr 18 Min 52 Sec,40
https://youtu.be/9T6JQNDP8SI?si=P_WvMRSyIIjid50i,Maithili,Null,Health,Male,Rajbiraj,1 hr 6 min 37 sec,40
https://youtu.be/3smQXBjCGNk?si=uVBfy8vcONyljcrL,Maithili,Null,Religion,Male,Null,28 Min 21 Sec,25
https://youtu.be/PUmkkOWqWGU?si=Sir9APD4K1umeczi,Maithili,Null,General,Male,Null,58 Min 23 Sec,25
https://www.youtube.com/live/s9CQhxbAbIA?si=bx07Xv7_5qL7C9cr,Maithili,Null,Health,Male,Janakpur,50 Min 50 Sec,35
https://www.youtube.com/live/fCpBPldvs84?si=yhnUP2XeDynTO8zK,Maithili,Null,Health,Null,Null,47 Min 5 sec,Null
https://www.youtube.com/live/PN25NTWbJkk?si=6YjVHLkAhjFRS2Nh,Maithili,Null,Health,Null,Null,54 Min 25 Sec,Null
https://www.youtube.com/live/rrYrfaK_suY?si=aaUUsJOm8LRodqWd,Maithili,Null,Health,Null,Null,42 Min 20 sec,35
https://www.youtube.com/live/N9Xlh7HX9Sc?si=5ijFTL0dmkUpqXK-,Maithili,Null,Health,Null,Null,51 Min 35 Sec,35
https://www.youtube.com/live/tJA1zCta3mc?si=8xtL6Bzxivx6HMKI,Maithili,Null,Health,Null,Null,37 Min,Null
https://www.youtube.com/live/4S1x0PiHSgw?si=4yH_JlcXKCoAVRas,Maithili,Null,Health,Null,Null,51 Min 15 Sec,Null
https://youtu.be/exwiGMPxUFQ?si=gY00xIq_FNYgexU_,Maithili,Null,Health,Null,Null,44 Min 34 Sec,35/Above 40
https://youtu.be/uE5qLsszado?si=24qCN-0t3GNitQoe,Maithili,Null,Health,Null,Null,37 min 1 sec,Null
https://youtu.be/9dsr2O9XIWY?si=oZHHj5-keI_clDx2,Maithili,Null,General,Female,Biratnagar,12 Min 5 Sec,30
https://youtu.be/u3F-5ieC11g?si=drGzh-8guyfk_qqp,Maithili,Null,General,Null,Null,12 Min 2 Sec,Null
